,Tweet,Suicide
97,@codyks Chick-Fil-A = bonus.,not suicide post
98,@Fred0828 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,not suicide post
99,@theosoft What do you want to know about MODx cms? Maybe I can help you,not suicide post
100,"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",not suicide post
101,"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS",potential suicide post
102,@ghostbusterz a friend i knew online from last night finally added me up on his messenger.,not suicide post
103,I jst sneezed twice. Me thinks there's at least one ghost in my house now.,not suicide post
104,@WANICULLEN Thanks Wani,not suicide post
105,@vanessawhite Haha Get all your Stress out x,not suicide post
106,@_nanu_ just added a little more grist to the mill,not suicide post
107,"@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead, move to a different precinct, ouâ¦ https://t.co/nC8PdOqUvU",potential suicide post
108,@yogadork our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,not suicide post
109,there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,potential suicide post
110,RT @camphalfblood: Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,potential suicide post
111,It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,not suicide post
112,So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff hasâ¦ https://t.co/SDrCTy43V3,potential suicide post
113,Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,potential suicide post
115,ok that dinner rocked,not suicide post
116,stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,potential suicide post
117,Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,potential suicide post
118,RT @sirpatricia: //shes doing her best https://t.co/tARP6gNDlu,not suicide post
119,@bobby_bobbles @snovvvhite live your best life,not suicide post
120,All I want is the truth.,not suicide post
121,@sandieb321 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,not suicide post
122,Iâm just gonna go ahead and kill myself. Already done for the fucking day.,potential suicide post
123,i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,potential suicide post
124,"@TaniaUncensored tania, i think you should get athene and the rest of the crew on twitter",not suicide post
125,@jackhii n i got yr pic posing in the server room ..,not suicide post
126,Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,not suicide post
127,Working on a film. Have been busy. Have a nice day everyone,not suicide post
128,i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,potential suicide post
129,I want to play with it.,not suicide post
130,Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,not suicide post
131,this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,potential suicide post
132,New iPhone is completely updated Sun shining in Derry - tis a pretty day,not suicide post
133,I want to be a doctor.,not suicide post
134,"@TomFelton Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",not suicide post
135,Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hapâ¦ https://t.co/Pqys3uWHkj,potential suicide post
136,i want her,not suicide post
137,"@FoxWhisperer Well compared to other areas west of us, I'll take our 50 degrees and run with it",not suicide post
138,"@inspireinspire aw, I am so jealous! ) please, take me with you",not suicide post
139,"@308Olsen,Blaine, MN,I dont want to be here anymore.",potential suicide post
140,"Scared of death, tired of living.",potential suicide post
141,@tmotsenbocker @TheAcademic @judahandthelion Take it all back was so fun https://t.co/iewkzKosB8,not suicide post
142,Ive had enough of life and the pain it causes,potential suicide post
143,Omg the cringe I cant,potential suicide post
144,@lilyroseallen i love your shh tattoo - did it hurt? i think i'm gonna get it,not suicide post
145,"@cgupi1,,RT @caringcorbyn: i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literallyâ¦",potential suicide post
146,i want him,not suicide post
147,had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,not suicide post
148,She didn't want him to go out with other women,not suicide post
149,@adalinemusic you're welcome! It was a great way to be introduced to your music,not suicide post
150,@Cookieex3 awesome!! Can't wait to see it!!,not suicide post
151,My heart is so crushed.,potential suicide post
152,ooo apple store is down ... so close? Credit card ready,not suicide post
153,youâve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,potential suicide post
154,"Not just because the House has NEVER had a Black woman in leadership, but becauseâ¦",not suicide post
155,@SUMMERWALKER hey Golden is here with me and just wanted to say Hi and have a great morning,not suicide post
156,Goooooood morning Twitter-World!,not suicide post
157,@emilylagrange a revolution in household detergent introducing #kidscleaning get one now while stocks last,not suicide post
158,everything that youâve ever dreamed of,potential suicide post
159,@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover,not suicide post
160,Going to bed goodnightttttt!,not suicide post
161,Going to school and enjoying my last day as a 16 year old but too,not suicide post
162,@pviktor Hmmm...not good...carrot juice and marmalade on toast may help?,not suicide post
163,Im tired and sick of everything I wanna die ... https://t.co/w04RQCbvNV,potential suicide post
164,RT @MarvelStudios: âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,not suicide post
165,"9 months ago my grandmother passed away, 8 months ago I got my heart completely broken, 7 months ago I almost attemâ¦ https://t.co/ooZMFRvuD1",potential suicide post
166,@that_groyper Really tired of everything. It's all just so lame and gay. Nothing serious us ever going to happen anâ¦ https://t.co/swSugXE6ua,potential suicide post
167,trying to figure out how this works!,not suicide post
168,My life is miserable,potential suicide post
169,Positive Mental Attitude - Today can't be as bad as yesterday.,not suicide post
170,good morning all,not suicide post
171,YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,not suicide post
173,Damn I fucking HATE myself,potential suicide post
174,snuggling in bed with my little baby....ahhhh!,not suicide post
175,mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],not suicide post
176,@goobimama @EventBox isn't the best Twitter client for me. It's the simplicity and all-in-1 that makes me love it,not suicide post
177,"@semblance_er AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",not suicide post
178,"@LizzieLib Could be - mine grew out, down my back and then all fell off",not suicide post
179,RT @lisapryor23: @MillwallFC @zampathelion what a fun day ! https://t.co/jr18uTkFX4,not suicide post
180,"@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",not suicide post
181,"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",not suicide post
182,"@bradesposito They want people like me dead. They don't want to help me. If I was in Canada, Israel or Germany I woâ¦ https://t.co/UEfZi9HniT",potential suicide post
183,enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,not suicide post
184,i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end ,potential suicide post
185,RT @Mylingo11: Never get too attach cause  people wake up with  different feelings everyday.,potential suicide post
186,do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway ,potential suicide post
187,@Cellobella They don't do them in my size How r u?,not suicide post
188,"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",not suicide post
189,"YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note, and like I alreadyâ¦ https://t.co/FTr8WA8GLz",potential suicide post
190,RT @B8SSONS: i hate feeling the way i do,potential suicide post
191,glad to see spring making a comeback in Denver today!,not suicide post
192,@avalanchelynn hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,not suicide post
193,"@richard_bell nah, I think going sideways is best, really helps when dodging bullets",not suicide post
194,Iâm so done with today like I just want to fucking kill myself,potential suicide post
195,@familychoice If you have any questions feel free to email us at sales@jshop.co.uk or send a DM on Twitter,not suicide post
196,"Itâs been nearly three years, but I still feel that Kylo/Ben Solo doesnât deserve redemption. The man killed his owâ¦ https://t.co/a69qtrMkh7",potential suicide post
197,"All right so that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprinâ¦ https://t.co/jjn5aEzAtu",potential suicide post
198,ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,potential suicide post
199,@hillkath Hey there! Sent you a DM.,not suicide post
200,@SILVERSUN You make the milk look REALLY good in your pictures,not suicide post
202,@JonathanRKnight,not suicide post
203,"@catherinemarche Ooh, that's lovely",not suicide post
204,"@geuphers, you will fully bloom after all the hardships. i love u ):",not suicide post
205,"@myselfmp3 Aw I'm so sorry, try not to let it get to you too much, they obviously didn't deserve you in the first pâ¦ https://t.co/F3aDF3M6U0",potential suicide post
206,Showcase Quick @ VIP romm on Thursday,not suicide post
207,@MatthewTurnbull is that me? tony price is on here too as is fab,not suicide post
208,Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,not suicide post
209,@TradingGoddess wow that was an experience you don't need to see repeated again glad he is ok.,not suicide post
210,embedding a google calendar into a site is actually seriously easy,not suicide post
211,I die a little inside when I see an old person eating alone at a restaurant.,potential suicide post
212,I hate repeating myself dawg. like damn.,potential suicide post
213,running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,potential suicide post
214,1300 words...,not suicide post
215,"@__TheRealSkp,Barcelona, Spain,RT @kbdoll2_: Even though WE DONT WANT too, we know that we have too believe that youâre not here anymore and we know that we have to be stâ¦",potential suicide post
216,@theshortestfuse that is so cool...good to hear...thanks for sharing!,not suicide post
217,@JacksonWang852 debuted on this week's Billboard Social 50 at #33!,not suicide post
218,@julouille3 Let me hate myself god fucking damn it,potential suicide post
219,@Woth2982 @DDsBoston @Bostongrlkayte it is going to be sunny and 11 Celcius Friday and sunny and 15 Saturday sweet,not suicide post
220,@IanAspin I second to that Ian - thank you,not suicide post
221,In reality social media donât care about a mans mental health or donât want to speak on it until heâs dead lets be real,potential suicide post
222,Not everything is gold.,not suicide post
223,Became as hot as the persistent days resting heavily on tired flowers,potential suicide post
224,@LessIsMoh @LaVendrickS We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunkâ¦ https://t.co/swOCDlRqWC,potential suicide post
225,IM SO TIRED OF EVERYTHING CAN I DIE,potential suicide post
226,still listening to some great music I got yesterday. amber pacific is awesome!!,not suicide post
227,Going to day care! Get to see hannah! This should be a good day. I hope so anyway.,not suicide post
228,@vindiekins I almost feel bad for my next post. Almost.,not suicide post
229,@LadyParadis Thanks. It's certainly better than it was midday yesterday. At one point I was walking around like Kryten from Red Dwarf.,not suicide post
230,@cyberpreneur welcome to the &quot;twittersphere&quot;! (i like your name for it it's fun but can get super addicting,not suicide post
231,@LindseyLobo How did you know?? I LOVE it!,not suicide post
232,every day just brings me closer to death i am 21 years old working student i want to kill myself life is unbearable i have no skills not talents and i am absolutely boring person so i spend most of my free time alone i really want to find a girlfriend but i see no way how could i find one when i am useless like this i used to go away from sadness by listening to music but these days i am bored of music and just want to go to sleep and never wake up ,potential suicide post
233,"@drrnlvngstn can i have yours? clouds have come in, i fear i may be too late to enjoy the weather",not suicide post
234,@chipcoffey That is great to hear!! Thanks Chip!,not suicide post
235,RT @MileyCyrus: Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE madeâ¦,not suicide post
236,ah.... 90's pop was so good,not suicide post
237,@rccgd I'm leaving the laptop at home. I'll put up with tweetie. I can get DMs on gmail. New friends can always send me their email addy,not suicide post
238,/thank god for @bre. Slept in and he took Ava to daycare.,not suicide post
239,i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,potential suicide post
240,Amazing night and great day...I LOVE my Heels!!!,not suicide post
241,"Tired of living life with the fear of not being liked. So for now on, FUCK IT Iâm really livinâ now people!!!!!",potential suicide post
242,jami: probably drunk driver coming onto on-coming traffic,potential suicide post
243,RT @gracee_chang: Me knowing damn well that I will hate myself for taking a 7:30 but doing it anyways https://t.co/FRhjVbgkUw,potential suicide post
244,"I'm out of all my fucking meds bc my family thought it was the best to do since I got sick, tired and slâ¦ https://t.co/6dpLNbb0sh",potential suicide post
245,RT @princessjmee: Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,potential suicide post
246,@babydestiny24 What's Twitter? OH!! This is Twitter. Yea... My poor little birdie! No! Here comes the FAIL WHALE!!,not suicide post
247,"Im gonna fucking die, im tired of investing everything into a person and then have them throw it out. I am not madeâ¦ https://t.co/5hb6Kz74qb",potential suicide post
248,YO sometimes Iâm just tired of living.,potential suicide post
249,RT @JimmieAthletics: Congratulations to @JimmieFootball OL Anthony Vereen for being named GPAC Football First Team Offense 2018! #GoJimmiesâ¦,not suicide post
250,Aspiring to be as happy as @BlacYoungstaFB in every aspect of life,not suicide post
251,RT @ZachStafford: I used to check the Forbes 30 Under 30 list every year to see if I could find a husband on it.,potential suicide post
252,@sh_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,potential suicide post
253,@gukdaydream so i need to work on this project and people count on me but i do fucking nothing because i think it'sâ¦ https://t.co/3xuJT5Fp0X,potential suicide post
254,You hear this @DaveOshry? Together we could start some sort of terrible business that pays nothing and sucks our wiâ¦ https://t.co/0cD2tTVEag,potential suicide post
255,"RT @0mysky: If you find someone that makes you happy, enjoy it... life is not fair nor give many opportunities... https://t.co/dCBwDeQVH8",not suicide post
256,"@phatelara debbs, PW is up on MSE! Congrats!",not suicide post
257,"@thekingscosmos,,My sister ruined the night before it even started I dont even want to be here anymore",potential suicide post
258,"RT @Raptors_22: I quit, I keep grinding but still fucking suck. I no life something and I still fucking suck. Iâm never gonna get into  @Faâ¦",potential suicide post
259,i cant take this anymore might as well end this sorry as life,potential suicide post
260,I wanna kill myself like not literally but mentally and emotionally,potential suicide post
261,"@dogcafes,co '19 ð¬ð¹,i dont want to be here anymore i done ruined a good thing https://t.co/Bql3YIlI1L",potential suicide post
262,"trying out Spaz for Twitter posts. love my DestroyTwitter, but it's easier to read Spaz!",not suicide post
263,We wouldn't want them to think we were doing anything immoral.,not suicide post
264,A tweet tweet here and a tweet tweet there! Goodniiiight!!,not suicide post
265,"@homerunderbyemo,,Just checked out that Homerun Derby EP, it SLAPS  https://t.co/lrHB1FDz6t",potential suicide post
266,Everything,not suicide post
267,@LaurenFisher obey the last fm algorithm. maybe it would turn out you really do like scooter if you gave him a chance,not suicide post
268,@bootylove89 Haha I wish I was. Iâm tired of living here. I wanna go down south,potential suicide post
269,@Abipips So true- nothing induces madness like trying to figure out why ppl do what they do Hope today with yr little one is wonderful x,not suicide post
270,but HA! Internet Explorer is being nice to me Mozilla Firefox is mean.,not suicide post
271,Tired of kickin you bitches out the house ð bout ready to go to sleep and wake up to the same ting forever.,potential suicide post
272,RT @ghoulrunnings: ive said it before and ill say it again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else tâ¦,potential suicide post
273,"RT @MohammadiRashid: A year after the devastating earthquake in this city, this young mother says she &amp; her family still don't have shelterâ¦",potential suicide post
274,@SexySubKaylee heh heh dirty is always good gurl! I like how you think,not suicide post
275,gettin off the internet... gonna finish my hair,not suicide post
276,after failing once this is how i feel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to teens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun off the black market because if i get caught my life would get worse ,potential suicide post
277,Morning! I have slacked for two days in twittering! But here I am again. Just finished a good run Ready to start a new day.,not suicide post
278,i am looking for someone to talk to all i want to do is die ,potential suicide post
279,"I donât hate the player I hate the game, Jess Glynne is probably an awesome person but I will kill myself or someonâ¦ https://t.co/kIkyGgqYus",potential suicide post
280,I am loving what I just read about #VR. Love it!,not suicide post
281,"Just watched Chuck, going out with Mel soon",not suicide post
282,@brigham oh! thank you!! I'm just glad to not be shutting stuff across the street anymore.. it's a little slower w/ the unpacking tho!,not suicide post
283,"@suesshirtshop Same to you, Sue!",not suicide post
284,"@Shy_Tide,England,Yeah no i dont want to be here anymore it hurts too much and im struggling too much",potential suicide post
285,"@BookThingo I want to read P. D. James's THE CHILDREN OF MEN, though - interesting premise. Yay for futuristics!",not suicide post
286,i am worried i might lose it tomorrow i cant really tell anyone for fear of worrying them i will be one year and eleven months clean and sober tomorrow i am going to be off my methadone maintenance program in two weeks i am going to walk home from the court pack all my things and clean my apartment and say my goodbyes its just too much i am really hoping it doesnt come to that i hope so fucking much i dont want to kill myself i dont want to do that to anyone i am not strong enough to start over again my chest feels like its going to explode with anxiety i feel like i am going to break down crying in front of the judge tomorrow practically pleading for my life ,potential suicide post
287,Realizing that I will not get a surprise certified letter stating that I am the sole heir of a wealthy family's inhâ¦ https://t.co/5DzyWg70Tu,not suicide post
288,@LFTA What about Blur - Song #2 ???,not suicide post
289,@Chels_V morning,not suicide post
290,tired of waking up. tired of wanting to die. tired of everything.,potential suicide post
291,me: *sees a car crash* i wonder how they crashed,potential suicide post
292,i just want to sleep so much has gone wrong in these 20 years and its still getting worse i can not change most of what is going on around me but it will invariably affect me i dont want to give it the chance so if i go and sleep and dont wake up i wont have to deal with it,potential suicide post
293,"@seerysm i'm always cheerful when it's sunny at ATL, means I'll get the heck away on time",not suicide post
294,Just booked @leawoodward and I in for 4D baby scan tomorrow - very exciting - can't wait to see our little girl,not suicide post
295,Liter spent so much money tonight and literally one of the worst nights in a looo g time literally about to straighâ¦ https://t.co/XEgK1zt0Xs,potential suicide post
296,RT @Beebri97: @Quueenn_M Girl I wanna look this good when I'm pregnant lol. Congratulations beautiful! I hope it's a girl so she can be like u,not suicide post
297,"@TonyWade @iantalbot I'm a size 5, but I have to wear orthotics in my footwear if I'm attempting to walk so I can get away with a 6",not suicide post
